PROVINSI,TANGGAL,HARGA_BERAS
BANTEN,2019-01-01,12000.0
BANTEN,2019-02-01,12000.0
BANTEN,2019-03-01,11900.0
BANTEN,2019-04-01,11700.0
BANTEN,2019-05-01,11600.0
BANTEN,2019-06-01,11550.0
BANTEN,2019-07-01,11550.0
BANTEN,2019-08-01,11550.0
BANTEN,2019-09-01,11650.0
BANTEN,2019-10-01,11650.0
BANTEN,2019-11-01,11650.0
BANTEN,2019-12-01,11700.0
BANTEN,2020-01-01,12000.0
BANTEN,2020-02-01,12050.0
BANTEN,2020-03-01,12100.0
BANTEN,2020-04-01,12050.0
BANTEN,2020-05-01,11550.0
BANTEN,2020-06-01,11550.0
BANTEN,2020-07-01,11400.0
BANTEN,2020-08-01,11300.0
BANTEN,2020-09-01,11150.0
BANTEN,2020-10-01,11100.0
BANTEN,2020-11-01,11100.0
BANTEN,2020-12-01,11100.0
BANTEN,2021-01-01,11100.0
BANTEN,2021-02-01,11100.0
BANTEN,2021-03-01,11050.0
BANTEN,2021-04-01,11000.0
BANTEN,2021-05-01,11000.0
BANTEN,2021-06-01,11000.0
BANTEN,2021-07-01,11000.0
BANTEN,2021-08-01,11000.0
BANTEN,2021-09-01,11150.0
BANTEN,2021-10-01,11200.0
BANTEN,2021-11-01,11200.0
BANTEN,2021-12-01,11250.0
BANTEN,2022-01-01,11550.0
BANTEN,2022-02-01,11500.0
BANTEN,2022-03-01,11400.0
BANTEN,2022-04-01,11400.0
BANTEN,2022-05-01,11350.0
BANTEN,2022-06-01,11250.0
BANTEN,2022-07-01,11250.0
BANTEN,2022-08-01,11450.0
BANTEN,2022-09-01,11750.0
BANTEN,2022-10-01,11850.0
BANTEN,2022-11-01,11850.0
BANTEN,2022-12-01,12350.0
BANTEN,2023-01-01,12650.0
BANTEN,2023-02-01,13000.0
BANTEN,2023-03-01,13100.0
BANTEN,2023-04-01,13100.0
BANTEN,2023-05-01,13100.0
BANTEN,2023-06-01,13100.0
BANTEN,2023-07-01,13300.0
BANTEN,2023-08-01,13500.0
BANTEN,2023-09-01,14050.0
BANTEN,2023-10-01,14550.0
BANTEN,2023-11-01,14600.0
BANTEN,2023-12-01,14600.0
BANTEN,2024-01-01,14750.0
BANTEN,2024-02-01,16150.0
BANTEN,2024-03-01,16250.0
BANTEN,2024-04-01,15550.0
BANTEN,2024-05-01,14800.0
BANTEN,2024-06-01,14850.0
BANTEN,2024-07-01,15200.0
BANTEN,2024-08-01,15000.0
BANTEN,2024-09-01,14650.0
BANTEN,2024-10-01,14650.0
BANTEN,2024-11-01,14700.0
BANTEN,2024-12-01,14800.0
BANTEN,2025-01-01,14950.0
BANTEN,2025-02-01,14950.0
BANTEN,2025-03-01,14850.0
BANTEN,2025-04-01,14650.0
BANTEN,2025-05-01,14550.0
BANTEN,2025-06-01,14800.0
BANTEN,2025-07-01,15600.0
BANTEN,2025-08-01,15600.0
BANTEN,2025-09-01,15500.0
BANTEN,2025-10-01,15450.0
BANTEN,2025-11-01,15000.0
BANTEN,2025-12-01,14950.0
BENGKULU,2019-01-01,12100.0
BENGKULU,2019-02-01,12350.0
BENGKULU,2019-03-01,12200.0
BENGKULU,2019-04-01,11700.0
BENGKULU,2019-05-01,11600.0
BENGKULU,2019-06-01,11900.0
BENGKULU,2019-07-01,12150.0
BENGKULU,2019-08-01,12100.0
BENGKULU,2019-09-01,12000.0
