NO,KODE PROV,PROVINSI,TAHUN,IKP,PERINGKAT,Kelompok IKP,Kerentanan Area
96,74,SULAWESI TENGGARA,2021,76.64,14,6,Sangat Tahan
97,75,GORONTALO,2021,80.52,5,6,Sangat Tahan
98,76,SULAWESI BARAT,2021,75.49,17,6,Sangat Tahan
99,81,MALUKU,2021,58.7,32,4,Agak Tahan
100,82,MALUKU UTARA,2021,59.58,31,4,Agak Tahan
101,91,PAPUA BARAT,2021,46.05,33,2,Rentan
102,94,PAPUA,2021,35.48,34,1,Sangat Rentan
103,11,ACEH,2022,70.16,23,5,Tahan
104,12,SUMATERA UTARA,2022,71.22,20,5,Tahan
105,13,SUMATERA BARAT,2022,79.45,8,6,Sangat Tahan
106,14,RIAU,2022,67.59,29,5,Tahan
107,15,JAMBI,2022,69.5,26,5,Tahan
108,16,SUMATERA SELATAN,2022,69.64,25,5,Tahan
109,17,BENGKULU,2022,67.99,28,5,Tahan
110,18,LAMPUNG,2022,78.61,9,6,Sangat Tahan
111,19,KEPULAUAN BANGKA BELITUNG,2022,71.71,19,5,Tahan
112,21,KEPULAUAN RIAU,2022,63.83,30,4,Agak Tahan
113,31,DKI JAKARTA,2022,78.25,10,6,Sangat Tahan
114,32,JAWA BARAT,2022,77.55,12,6,Sangat Tahan
115,33,JAWA TENGAH,2022,82.95,2,6,Sangat Tahan
116,34,DI YOGYAKARTA,2022,80.88,5,6,Sangat Tahan
117,35,JAWA TIMUR,2022,79.85,7,6,Sangat Tahan
118,36,BANTEN,2022,73.78,18,5,Tahan
119,51,BALI,2022,85.19,1,6,Sangat Tahan
120,52,NUSA TENGGARA BARAT,2022,76.58,13,6,Sangat Tahan
121,53,NUSA TENGGARA TIMUR,2022,68.42,27,5,Tahan
122,61,KALIMANTAN BARAT,2022,70.81,22,5,Tahan
123,62,KALIMANTAN TENGAH,2022,69.96,24,5,Tahan
124,63,KALIMANTAN SELATAN,2022,81.05,4,6,Sangat Tahan
125,64,KALIMANTAN TIMUR,2022,77.65,11,6,Sangat Tahan
126,65,KALIMANTAN UTARA,2022,71.04,21,5,Tahan
127,71,SULAWESI UTARA,2022,74.3,16,5,Tahan
128,72,SULAWESI TENGAH,2022,75.92,14,6,Sangat Tahan
129,73,SULAWESI SELATAN,2022,81.38,3,6,Sangat Tahan
130,74,SULAWESI TENGGARA,2022,75.04,15,6,Sangat Tahan
131,75,GORONTALO,2022,80.35,6,6,Sangat Tahan
132,76,SULAWESI BARAT,2022,74.04,17,5,Tahan
133,81,MALUKU,2022,60.2,31,4,Agak Tahan
134,82,MALUKU UTARA,2022,58.39,32,4,Agak Tahan
135,91,PAPUA BARAT,2022,45.92,33,2,Rentan
136,94,PAPUA,2022,37.8,34,2,Rentan
137,11,ACEH,2023,72.96,22,5,Tahan
138,12,SUMATERA UTARA,2023,75.97,16,6,Sangat Tahan
139,13,SUMATERA BARAT,2023,83.22,5,6,Sangat Tahan
140,14,RIAU,2023,68.68,29,5,Tahan
141,15,JAMBI,2023,72.17,25,5,Tahan
142,16,SUMATERA SELATAN,2023,73.82,20,5,Tahan
143,17,BENGKULU,2023,72.27,23,5,Tahan
144,18,LAMPUNG,2023,81.56,10,6,Sangat Tahan
145,19,KEPULAUAN BANGKA BELITUNG,2023,71.14,27,5,Tahan
146,21,KEPULAUAN RIAU,2023,65.1,30,4,Agak Tahan
147,31,DKI JAKARTA,2023,83.8,3,6,Sangat Tahan
148,32,JAWA BARAT,2023,82.19,8,6,Sangat Tahan
149,33,JAWA TENGAH,2023,84.8,2,6,Sangat Tahan
150,34,DI YOGYAKARTA,2023,83.17,6,6,Sangat Tahan
151,35,JAWA TIMUR,2023,82.46,7,6,Sangat Tahan
152,36,BANTEN,2023,78.71,13,6,Sangat Tahan
153,51,BALI,2023,87.65,1,6,Sangat Tahan
154,52,NUSA TENGGARA BARAT,2023,76.51,15,6,Sangat Tahan
155,53,NUSA TENGGARA TIMUR,2023,71.25,26,5,Tahan
156,61,KALIMANTAN BARAT,2023,72.2,24,5,Tahan
157,62,KALIMANTAN TENGAH,2023,68.9,28,5,Tahan
158,63,KALIMANTAN SELATAN,2023,81.26,11,6,Sangat Tahan
159,64,KALIMANTAN TIMUR,2023,72.29,12,5,Tahan
160,65,KALIMANTAN UTARA,2023,74.59,19,6,Sangat Tahan
161,71,SULAWESI UTARA,2023,77.32,14,6,Sangat Tahan
162,72,SULAWESI TENGAH,2023,75.83,17,6,Sangat Tahan
163,73,SULAWESI SELATAN,2023,83.36,4,6,Sangat Tahan
164,74,SULAWESI TENGGARA,2023,74.96,18,6,Sangat Tahan
165,75,GORONTALO,2023,81.63,9,6,Sangat Tahan
166,76,SULAWESI BARAT,2023,73.03,21,5,Tahan
167,81,MALUKU,2023,64.37,31,4,Agak Tahan
168,82,MALUKU UTARA,2023,62.34,32,4,Agak Tahan
169,91,PAPUA BARAT,2023,47.95,33,2,Rentan
170,94,PAPUA,2023,42.27,34,2,Rentan
171,11,ACEH,2024,73.94,22,5,Tahan
172,12,SUMATERA UTARA,2024,77.49,15,6,Sangat Tahan
173,13,SUMATERA BARAT,2024,84.32,4,6,Sangat Tahan
174,14,RIAU,2024,70.42,27,5,Tahan
175,15,JAMBI,2024,74.94,20,6,Sangat Tahan
176,16,SUMATERA SELATAN,2024,74.07,21,5,Tahan
177,17,BENGKULU,2024,73.39,24,5,Tahan
178,18,LAMPUNG,2024,82.58,10,6,Sangat Tahan
179,19,KEPULAUAN BANGKA BELITUNG,2024,70.21,28,5,Tahan
180,21,KEPULAUAN RIAU,2024,66.29,30,5,Tahan
181,31,DKI JAKARTA,2024,85.13,3,6,Sangat Tahan
182,32,JAWA BARAT,2024,82.97,8,6,Sangat Tahan
183,33,JAWA TENGAH,2024,85.34,2,6,Sangat Tahan
184,34,DI YOGYAKARTA,2024,84.15,5,6,Sangat Tahan
185,35,JAWA TIMUR,2024,83.86,6,6,Sangat Tahan
186,36,BANTEN,2024,79.25,11,6,Sangat Tahan
187,51,BALI,2024,88.23,1,6,Sangat Tahan
188,52,NUSA TENGGARA BARAT,2024,78.44,14,6,Sangat Tahan
189,53,NUSA TENGGARA TIMUR,2024,70.91,26,5,Tahan
190,61,KALIMANTAN BARAT,2024,73.94,23,5,Tahan
191,62,KALIMANTAN TENGAH,2024,70.16,29,5,Tahan
192,63,KALIMANTAN SELATAN,2024,82.95,9,6,Sangat Tahan
193,64,KALIMANTAN TIMUR,2024,78.61,13,6,Sangat Tahan
194,65,KALIMANTAN UTARA,2024,75.77,19,6,Sangat Tahan
195,71,SULAWESI UTARA,2024,76.32,18,6,Sangat Tahan
196,72,SULAWESI TENGAH,2024,76.87,16,6,Sangat Tahan
197,73,SULAWESI SELATAN,2024,83.82,7,6,Sangat Tahan
198,74,SULAWESI TENGGARA,2024,76.68,17,6,Sangat Tahan
199,75,GORONTALO,2024,81.47,11,6,Sangat Tahan
200,76,SULAWESI BARAT,2024,71.99,25,5,Tahan
201,81,MALUKU,2024,62.68,31,4,Agak Tahan
202,82,MALUKU UTARA,2024,61.44,32,4,Agak Tahan
203,91,PAPUA BARAT,2024,51.36,33,3,Agak Rentan
204,94,PAPUA,2024,40.21,34,2,Rentan
