38 Provinsi,,
,Margin Perdagangan dan Pengangkutan (MPP) Komoditas Beras Menurut Provinsi,
,Margin Perdagangan dan Pengangkutan/MPP Total (%),Jumlah Rantai Utama
,2019,2019
ACEH,5.91,2
SUMATERA UTARA,20.97,3
SUMATERA BARAT,12.99,2
RIAU,18.14,3
JAMBI,23.12,3
SUMATERA SELATAN,11.68,2
BENGKULU,4.97,2
LAMPUNG,7.13,2
KEP. BANGKA BELITUNG,22.74,4
KEP. RIAU,29.03,3
DKI JAKARTA,37.67,4
JAWA BARAT,10.64,2
JAWA TENGAH,9.32,2
DI YOGYAKARTA,14.82,3
JAWA TIMUR,34.15,4
BANTEN,12.42,2
BALI,16.06,4
NUSA TENGGARA BARAT,4.01,2
NUSA TENGGARA TIMUR,23.51,2
KALIMANTAN BARAT,14.17,2
KALIMANTAN TENGAH,14.21,3
KALIMANTAN SELATAN,13.63,3
KALIMANTAN TIMUR,10.76,2
KALIMANTAN UTARA,24.26,4
SULAWESI UTARA,14.52,2
SULAWESI TENGAH,8.69,2
SULAWESI SELATAN,21.62,3
SULAWESI TENGGARA,9.51,2
GORONTALO,18.17,3
SULAWESI BARAT,22.23,2
MALUKU,32.71,3
MALUKU UTARA,19.03,3
PAPUA BARAT,19.91,3
PAPUA BARAT DAYA,-,-
PAPUA,22.23,3
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,22.34,3
