38 Provinsi,,
,Margin Perdagangan dan Pengangkutan (MPP) Komoditas Beras Menurut Provinsi,
,Margin Perdagangan dan Pengangkutan/MPP Total (%),Jumlah Rantai Utama
,2020,2020
ACEH,13.1,3
SUMATERA UTARA,15.13,3
SUMATERA BARAT,15.3,3
RIAU,20.97,3
JAMBI,9.53,2
SUMATERA SELATAN,20.91,3
BENGKULU,13.49,2
LAMPUNG,14.45,3
KEP. BANGKA BELITUNG,20.04,4
KEP. RIAU,27.12,3
DKI JAKARTA,20.01,3
JAWA BARAT,17.86,3
JAWA TENGAH,19.2,3
DI YOGYAKARTA,17.78,3
JAWA TIMUR,19.22,4
BANTEN,9.12,2
BALI,15.74,3
NUSA TENGGARA BARAT,15.14,3
NUSA TENGGARA TIMUR,11.85,2
KALIMANTAN BARAT,11.22,2
KALIMANTAN TENGAH,17.06,3
KALIMANTAN SELATAN,11.99,3
KALIMANTAN TIMUR,11.12,2
KALIMANTAN UTARA,19.77,3
SULAWESI UTARA,18.98,2
SULAWESI TENGAH,6.09,2
SULAWESI SELATAN,18.62,3
SULAWESI TENGGARA,12.13,2
GORONTALO,18.87,3
SULAWESI BARAT,15.82,2
MALUKU,26.47,3
MALUKU UTARA,25.4,4
PAPUA BARAT,24.75,3
PAPUA BARAT DAYA,-,-
PAPUA,25.13,3
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,21.47,3
