38 Provinsi,,
,Margin Perdagangan dan Pengangkutan (MPP) Komoditas Beras Menurut Provinsi,
,Margin Perdagangan dan Pengangkutan/MPP Total (%),Jumlah Rantai Utama
,2021,2021
ACEH,11.23,3
SUMATERA UTARA,10.35,3
SUMATERA BARAT,13.85,2
RIAU,10.32,3
JAMBI,10.69,2
SUMATERA SELATAN,16.17,3
BENGKULU,11.04,2
LAMPUNG,14.48,3
KEP. BANGKA BELITUNG,18.49,3
KEP. RIAU,11.03,3
DKI JAKARTA,22.62,3
JAWA BARAT,21.78,3
JAWA TENGAH,19.7,3
DI YOGYAKARTA,25.73,3
JAWA TIMUR,6.7,2
BANTEN,6.69,2
BALI,15.25,3
NUSA TENGGARA BARAT,13.62,3
NUSA TENGGARA TIMUR,17.29,2
KALIMANTAN BARAT,7.22,2
KALIMANTAN TENGAH,26.79,3
KALIMANTAN SELATAN,14.4,2
KALIMANTAN TIMUR,12.83,2
KALIMANTAN UTARA,20.03,3
SULAWESI UTARA,13.98,2
SULAWESI TENGAH,9.94,2
SULAWESI SELATAN,12.25,3
SULAWESI TENGGARA,9.73,2
GORONTALO,9.23,2
SULAWESI BARAT,21.08,3
MALUKU,37.09,4
MALUKU UTARA,14.94,3
PAPUA BARAT,26.84,3
PAPUA BARAT DAYA,-,-
PAPUA,21.52,3
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,11.31,2
